id;name;source;auto_load
1;mobile Fish;Home Loan Account Table Computer;false
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;false
3;Officer;methodology Albania;false
4;intangible;enable Gorgeous Frozen Pants;false
5;Licensed Savings Acc;Cambridgeshire Mississippi;false
6;Credit Card Account ;South Dakota envisioneer Music;false
7;Monitored Bahamian D;Games Regional Digitized;true
8;hardware Costa Rica ;Industrial;true
9;Views e-enable Commu;National Awesome sky blue;false
10;software scale inter;Louisiana Specialist Home Loan Account;false
